Gemeente,Provincie,Stemmen op coalitie,Stemmen op PVV,Inwoners,Benzine,Diesel,Alles elektrisch,Aardgas,Alcohol,Elektriciteit,Hybride,Hybride met stekker,LNG,LPG,Waterstof,Bevolkingsdichtheid,Huishoudgrootte,Koopwoningen,Huurwoningen,Huurwoningen corporatie,Huurwoningen overig,WOZ,Gemeentenaam Allecijfers,Regio's,predicted_electric
Beek,Limburg,0.65,0.32,16132,75%,13%,11.03,0%,0%,"2,62%","7,90%","0,51%",0%,"1,17%",0%,770,"2,11",69.9,"30,1","21,1",9,295,Gemeente Beek,Beek (L.),9.691670981271368
Beekdaelen,Limburg,0.68,0.33,35966,75%,13%,10.21,0%,0%,"2,47%","7,50%","0,24%",0%,"1,22%",0%,458,"2,16",73.0,"26,9","17,8","9,1",306,Gemeente Beekdaelen,Beekdaelen,9.25045048548345
Beesel,Limburg,0.69,0.37,13449,75%,13%,11.29,0%,0%,"2,21%","8,60%","0,48%",0%,"1,12%",0%,480,"2,21",67.3,"32,7","27,1","5,6",297,Gemeente Beesel,Beesel,9.485633422357871
Berg en Dal,Gelderland,0.59,0.28,35420,72%,15%,12.1,0%,0%,"2,59%",9%,"0,51%",0%,"1,24%",0%,411,"2,11",61.1,"38,8","28,2","10,6",371,Gemeente Berg en Dal,Berg en Dal,11.667690104159782
Bergeijk,Noord-Brabant,0.7,0.27,19092,68%,21%,9.7,0%,0%,"2,27%","6,80%","0,63%",0%,"1,24%",0%,190,"2,29",78.1,"21,9","12,8","9,1",474,Gemeente Bergeijk,Bergeijk,11.730829386463396
Bergen (L.),Limburg,0.73,0.36,13119,71%,19%,8.33,0%,0%,"2,40%","5,70%","0,23%",0%,"1,90%",0%,127,"2,25",71.3,"28,6","22,9","5,7",333,Gemeente Bergen (Limburg),Bergen (L.),9.205707735845186
Bergen (NH.),Noord-Holland,0.57,0.21,30138,70%,15%,12.93,0%,0%,"3,95%","7,90%","1,08%",0%,"1,87%",0%,302,"2,05",67.3,"32,3","18,2","14,1",580,Gemeente Bergen (Noord-Holland),Bergen (NH.),15.618493486293687
Bergen op Zoom,Noord-Brabant,0.64,0.3,68864,73%,16%,10.91,0%,0%,"2,70%","7,80%","0,41%",0%,"0,81%",0%,872,"2,15",58.9,"41,1","29,7","11,4",312,Gemeente Bergen op Zoom,Bergen op Zoom,10.395573879499706
Berkelland,Gelderland,0.72,0.21,44022,71%,19%,8.48,0%,0%,"2,32%","5,80%","0,36%",0%,"1,33%",0%,170,"2,25",68.5,"31,5","23,5",8,370,Gemeente Berkelland,Berkelland,8.793102725955128
Bernheze,Noord-Brabant,0.67,0.28,32263,65%,23%,10.61,"0,05%",0%,"3,39%","6,70%","0,52%",0%,"1,02%",0%,363,"2,35",70.9,"29,1","19,1",10,457,Gemeente Bernheze,Bernheze,12.209897884151518
Best,Noord-Brabant,0.65,0.26,30897,71%,16%,12.66,0%,0%,"3,66%","8,30%","0,70%",0%,"0,95%",0%,921,"2,26",70.9,"29,1",20,"9,1",428,Gemeente Best,Best,12.176155273653118
Beuningen,Gelderland,0.66,0.28,26573,71%,15%,12.41,0%,0%,"3,44%","8,40%","0,57%",0%,"1,30%",0%,613,"2,27",70.4,"29,5","22,1","7,4",391,Gemeente Beuningen,Beuningen,11.131699903656227
Beverwijk,Noord-Holland,0.6,0.3,42711,71%,17%,11.39,0%,0%,"2,94%","7,70%","0,75%",0%,"1,06%",0%,2336,"2,14",54.2,"45,8","36,3","9,5",336,Gemeente Beverwijk,Beverwijk,13.010844204868095
Bladel,Noord-Brabant,0.7,0.28,21009,67%,22%,9.68,0%,0%,"2,78%","6,50%","0,40%",0%,"1,37%",0%,279,"2,27",74.1,"25,9","14,2","11,7",434,Gemeente Bladel,Bladel,11.132858617026704
Blaricum,Noord-Holland,0.66,0.18,12490,68%,12%,19.36,0%,0%,"5,70%",12%,"1,66%",0%,"0,62%",0%,1149,"2,35",69.7,"29,8","21,3","8,5",858,Gemeente Blaricum,Blaricum,21.067984419687896
Bloemendaal,Noord-Holland,0.54,0.11,23922,72%,9%,18.18,0%,0%,"5,50%",11%,"1,68%",0%,"0,77%",0%,598,"2,3",70.7,"29,2","17,3","11,9",905,Gemeente Bloemendaal,Bloemendaal,22.453542305347977
Bodegraven-Reeuwijk,Zuid-Holland,0.57,0.21,36308,66%,20%,12.6,0%,0%,"3,84%","7,90%","0,86%",0%,"1,08%",0%,485,"2,37",72.0,28,"19,4","8,6",449,Gemeente Bodegraven-Reeuwijk,Bodegraven-Reeuwijk,12.758746131343342
