Gemeente,Provincie,Stemmen op coalitie,Stemmen op PVV,Inwoners,Benzine,Diesel,Alles elektrisch,Aardgas,Alcohol,Elektriciteit,Hybride,Hybride met stekker,LNG,LPG,Waterstof,Bevolkingsdichtheid,Huishoudgrootte,Koopwoningen,Huurwoningen,Huurwoningen corporatie,Huurwoningen overig,WOZ,Gemeentenaam Allecijfers,Regio's,predicted_electric
Goeree-Overflakkee,Zuid-Holland,0.58,0.28,51590,67%,21%,10.89,0%,0%,"3,13%","7,30%","0,46%","0,05%","1,20%",0%,198,"2,28",64.9,35,"27,7","7,3",362,Gemeente Goeree-Overflakkee,Goeree-Overflakkee,11.292504649513537
Goes,Zeeland,0.54,0.21,39433,66%,18%,14.4,0%,0%,"5,30%","8,70%","0,40%",0%,"0,64%",0%,429,"2,07",60.4,"39,2","27,4","11,8",321,Gemeente Goes,Goes,10.564000534792912
Goirle,Noord-Brabant,0.61,0.24,24177,73%,15%,11.68,0%,0%,"3,03%","8,20%","0,45%",0%,"0,89%",0%,566,"2,28",71.3,"28,7","23,9","4,8",425,Gemeente Goirle,Goirle,12.087329004962841
Gooise Meren,Noord-Holland,0.53,0.14,60341,71%,12%,16.32,0%,0%,"5,40%","9,70%","1,22%",0%,"1,03%",0%,1457,"2,19",63.8,"36,2","21,4","14,8",580,Gemeente Gooise Meren,Gooise Meren,16.67468781902209
Gorinchem,Zuid-Holland,0.54,0.24,38461,70%,17%,12.44,"0,17%",0%,"3,80%","8,10%","0,54%",0%,"0,64%",0%,2066,"2,16",49.8,"50,2","36,8","13,4",345,Gemeente Gorinchem,Gorinchem,13.268940341603043
Gouda,Zuid-Holland,0.45,0.19,75316,74%,14%,12.14,0%,0%,"3,04%","8,40%","0,70%",0%,"0,70%",0%,4592,"2,12",55.7,"44,2","29,3","14,9",334,Gemeente Gouda,Gouda,16.02879475398787
Groningen,Groningen,0.38,0.13,238147,65%,18%,15.7,"0,03%",0%,"6,60%","8,50%","0,60%",0%,"0,96%","0,03%",1314,"1,65",40.2,"59,7","31,5","28,2",301,Gemeente Groningen,Groningen (gemeente),12.852088608543045
Gulpen-Wittem,Limburg,0.66,0.28,14210,75%,14%,10.63,0%,0%,"2,33%","8,30%",0%,0%,"0,24%",0%,192,"2,09",66.9,"32,9","18,5","14,4",331,Gemeente Gulpen-Wittem,Gulpen-Wittem,9.480311629143626
Haaksbergen,Overijssel,0.76,0.23,24502,71%,19%,8.64,0%,0%,"1,95%","6,20%","0,49%",0%,"1,37%",0%,232,"2,3",69.5,"30,4","20,9","9,5",368,Gemeente Haaksbergen,Haaksbergen,8.448436725886861
Haarlem,Noord-Holland,0.4,0.15,165396,71%,13%,14.92,"0,01%",0%,"4,46%","9,50%","0,96%",0%,"0,95%",0%,5739,"2,04",52.5,"47,4","28,4",19,484,Gemeente Haarlem,Haarlem,20.835014495786226
Haarlemmermeer,Noord-Holland,0.63,0.26,162300,43%,15%,41.35,"0,12%",0%,22%,19%,"0,35%",0%,"0,40%","0,01%",827,"2,33",66.7,"33,3","22,6","10,7",473,Gemeente Haarlemmermeer,Haarlemmermeer,13.46270257540525
Halderberge,Noord-Brabant,0.73,0.35,31041,69%,19%,10.57,0%,0%,"3,16%","7,10%","0,31%",0%,"1,13%",0%,419,"2,26",65.4,"34,6","29,1","5,5",357,Gemeente Halderberge,Halderberge,10.081051322536851
Hardenberg,Overijssel,0.69,0.25,62509,67%,24%,7.59,0%,0%,"2,03%",5%,"0,56%",0%,"1,62%",0%,202,"2,41",70.4,"29,5",21,"8,5",329,Gemeente Hardenberg,Hardenberg,8.65694123180482
Harderwijk,Gelderland,0.56,0.21,48906,68%,19%,11.92,0%,0%,"3,49%","7,70%","0,73%",0%,"1,28%",0%,1269,"2,26",58.6,"41,3","27,2","14,1",391,Gemeente Harderwijk,Harderwijk,12.720084210554859
Hardinxveld-Giessendam,Zuid-Holland,0.49,0.23,18681,69%,20%,10.1,0%,0%,"2,41%","7,10%","0,59%",0%,"0,84%",0%,1113,"2,51",65.8,"34,3",28,"6,3",360,Gemeente Hardinxveld-Giessendam,Hardinxveld-Giessendam,12.81691031595998
Harlingen,Fryslï¿½n,0.61,0.28,16188,64%,25%,9.17,0%,0%,"2,50%","6,10%","0,57%",0%,"1,87%",0%,650,"2,03",56.1,"43,8","32,2","11,6",247,Gemeente Harlingen,Harlingen,9.009185405212223
Hattem,Gelderland,0.54,0.19,12563,67%,18%,13.31,0%,0%,"3,08%","9,30%","0,93%",0%,"1,44%",0%,547,"2,35",66.5,"33,5","26,2","7,3",416,Gemeente Hattem,Hattem,12.431995526225593
Heemskerk,Noord-Holland,0.61,0.27,39431,74%,12%,13.03,0%,0%,"2,93%","9,40%","0,70%",0%,"0,96%",0%,1447,"2,2",59.4,"40,6","32,4","8,2",402,Gemeente Heemskerk,Heemskerk,13.045611519568196
Heemstede,Noord-Holland,0.52,0.12,27778,73%,9%,17.31,0%,0%,"4,80%",11%,"1,51%",0%,"0,44%",0%,3008,"2,2",65.3,"34,6","21,1","13,5",657,Gemeente Heemstede,Heemstede,19.792107414276416
Heerde,Gelderland,0.61,0.24,19214,69%,20%,9.27,0%,0%,"2,72%",6%,"0,55%",0%,"1,40%",0%,245,"2,37",68.8,"31,1","23,5","7,6",429,Gemeente Heerde,Heerde,11.930082648660024
Heerenveen,Fryslï¿½n,0.59,0.23,51637,62%,28%,8.99,"0,15%",0%,"3,15%","5,40%","0,44%","0,05%","1,21%",0%,273,"2,14",60.4,"39,6","27,9","11,7",325,Gemeente Heerenveen,Heerenveen,10.03408166902907
Heerlen,Limburg,0.62,0.37,87122,78%,11%,9.55,0%,0%,"2,32%",7%,"0,23%",0%,"1,24%",0%,1948,"1,86",46.6,"53,2","36,3","16,9",202,Gemeente Heerlen,Heerlen,10.2813103433577
Heeze-Leende,Noord-Brabant,0.65,0.23,16627,69%,18%,11.26,0%,0%,"3,22%","7,40%","0,64%",0%,"1,34%",0%,162,"2,28",77.5,"22,4",14,"8,4",478,Gemeente Heeze-Leende,Heeze-Leende,12.077527802782809
Heiloo,Noord-Holland,0.52,0.16,24319,71%,13%,15.32,0%,"0,08%","4,54%","9,80%","0,98%",0%,"1,24%",0%,1300,"2,16",73.2,"26,7","16,4","10,3",516,Gemeente Heiloo,Heiloo,15.180394759827127
Hellendoorn,Overijssel,0.72,0.21,36261,70%,18%,10.92,0%,0%,"2,78%","7,60%","0,54%",0%,"1,43%",0%,263,"2,37",72.9,27,"20,8","6,2",397,Gemeente Hellendoorn,Hellendoorn,9.367484845804437
Helmond,Noord-Brabant,0.66,0.34,94898,72%,15%,12.03,0%,0%,"3,08%","8,30%","0,65%",0%,"1,30%",0%,1803,"2,19",53.6,"46,4","35,9","10,5",320,Gemeente Helmond,Helmond,11.750022663202287
Hendrik-Ido-Ambacht,Zuid-Holland,0.58,0.27,32183,73%,11%,15.26,0%,0%,"3,55%",11%,"0,71%",0%,"0,58%",0%,3209,"2,52",72.3,"27,7",22,"5,7",413,Gemeente Hendrik-Ido-Ambacht,Hendrik-Ido-Ambacht,15.062453388098787
Hengelo,Overijssel,0.63,0.22,82311,68%,14%,16.77,0%,0%,"6,60%","9,70%","0,47%",0%,"0,87%",0%,1365,"2,06",56.5,"43,5","30,4","13,1",306,Gemeente Hengelo,Hengelo (O.),10.146868912077572
Het Hogeland,Groningen,0.54,0.2,48298,69%,23%,7.49,"0,06%",0%,"1,57%","5,70%","0,22%",0%,"0,91%",0%,101,"2,16",67.0,33,"24,5","8,5",262,Gemeente Het Hogeland,Het Hogeland,8.658763160597898
Heumen,Gelderland,0.55,0.2,16824,72%,15%,12.11,0%,0%,"3,43%","8,10%","0,58%",0%,"1,07%",0%,424,"2,24",71.6,"28,4","18,6","9,8",415,Gemeente Heumen,Heumen,12.120858464729576
Heusden,Noord-Brabant,0.67,0.29,45830,69%,18%,11.47,0%,0%,"3,59%","7,30%","0,58%","0,05%","0,96%",0%,584,"2,27",67.9,"32,1","25,5","6,6",413,Gemeente Heusden,Heusden,11.624955870576803
Hillegom,Zuid-Holland,0.63,0.27,22453,71%,15%,12.99,0%,0%,"4,32%",8%,"0,67%",0%,"1,07%",0%,1775,"2,17",67.0,33,"23,8","9,2",416,Gemeente Hillegom,Hillegom,13.208843191016832
Hilvarenbeek,Noord-Brabant,0.65,0.21,15949,64%,22%,12.24,0%,0%,"3,09%","8,70%","0,45%",0%,"1,06%",0%,168,"2,3",75.2,"24,7","14,3","10,4",468,Gemeente Hilvarenbeek,Hilvarenbeek,11.72399236169069
Hilversum,Noord-Holland,0.47,0.18,93345,69%,14%,14.98,"0,28%",0%,"5,20%","8,80%","0,98%",0%,"0,95%",0%,2070,"2,07",53.7,"46,2","29,7","16,5",471,Gemeente Hilversum,Hilversum,16.308764913623033
Hoeksche Waard,Zuid-Holland,0.61,0.28,89760,69%,17%,12.76,0%,0%,"3,40%","8,80%","0,56%",0%,"1,17%",0%,336,"2,29",70.8,"29,1","24,2","4,9",382,Gemeente Hoeksche Waard,Hoeksche Waard,11.31628745868948
Hof van Twente,Overijssel,0.75,0.21,35455,69%,20%,9.65,0%,0%,"2,95%","6,20%","0,50%",0%,"1,20%",0%,167,"2,28",68.7,"31,3","19,5","11,8",359,Gemeente Hof van Twente,Hof van Twente,8.14127450183687
Hollands Kroon,Noord-Holland,0.7,0.28,49431,64%,24%,9.41,0%,0%,"3,08%","5,90%","0,43%",0%,"2,25%",0%,138,"2,23",70.8,29,"21,6","7,4",355,Gemeente Hollands Kroon,Hollands Kroon,9.3261704240728
Hoogeveen,Drenthe,0.66,0.32,56433,67%,24%,8.24,0%,0%,"1,96%","5,90%","0,38%",0%,"1,57%",0%,444,"2,2",61.5,"38,1","28,4","9,7",272,Gemeente Hoogeveen,Hoogeveen,8.95245570389361
Hoorn,Noord-Holland,0.56,0.24,75216,68%,19%,11.87,"0,08%",0%,"3,18%",8%,"0,69%",0%,"1,29%",0%,3713,"2,16",60.6,"39,4","29,4",10,349,Gemeente Hoorn,Hoorn,14.408856806773372
Horst aan de Maas,Limburg,0.69,0.29,43641,67%,19%,10.62,"1,50%",0%,"4,10%","6,20%","0,32%",0%,"1,54%",0%,233,"2,23",75.3,"24,7","15,2","9,5",339,Gemeente Horst aan de Maas,Horst aan de Maas,9.175525834016705
Houten,Utrecht,0.52,0.18,50581,42%,14%,43.2,0%,0%,23%,20%,"0,20%",0%,"0,29%",0%,926,"2,38",67.1,"32,9","24,4","8,5",500,Gemeente Houten,Houten,14.820108589307516
Huizen,Noord-Holland,0.58,0.21,41252,73%,13%,13.29,0%,0%,"3,65%","8,90%","0,74%",0%,"0,98%",0%,2605,"2,15",58.7,"41,3","32,3",9,461,Gemeente Huizen,Huizen,15.308610159030408
Hulst,Zeeland,0.69,0.29,27596,75%,15%,8.82,0%,0%,"2,00%","6,70%","0,12%",0%,"0,91%",0%,136,"2,08",74.0,"25,2",18,"7,2",295,Gemeente Hulst,Hulst,8.137036520582642
IJsselstein,Utrecht,0.61,0.24,33492,71%,14%,14.12,0%,0%,"3,67%","9,80%","0,65%",0%,"0,86%",0%,1591,"2,29",63.9,"36,1","24,2","11,9",424,Gemeente IJsselstein,IJsselstein,13.258890079034003
Kaag en Braassem,Zuid-Holland,0.67,0.26,28573,70%,16%,12.23,0%,0%,"4,09%","7,60%","0,54%",0%,"0,84%",0%,462,"2,27",65.5,"34,3","26,7","7,6",464,Gemeente Kaag en Braassem,Kaag en Braassem,12.407099533169795
Kampen,Overijssel,0.54,0.24,55614,68%,22%,8.64,0%,0%,"2,42%","5,80%","0,42%","0,05%","1,28%",0%,398,"2,39",63.4,"36,6","24,8","11,8",337,Gemeente Kampen,Kampen,11.107053474458072
Kapelle,Zeeland,0.55,0.21,13051,68%,19%,11.53,0%,0%,"3,39%","7,60%","0,54%",0%,"0,88%",0%,350,"2,35",76.8,"22,9","14,4","8,5",354,Gemeente Kapelle,Kapelle,10.653411218211222
Katwijk,Zuid-Holland,0.61,0.32,66607,71%,15%,13.45,0%,0%,"3,23%","9,40%","0,82%","0,09%","0,67%",0%,2700,"2,4",65.0,"34,9","27,1","7,8",438,Gemeente Katwijk,Katwijk,15.412288185545421
Kerkrade,Limburg,0.7,0.44,45620,79%,11%,8.57,0%,0%,"1,76%","6,60%","0,21%",0%,"1,05%",0%,2068,"1,93",52.9,"46,5",32,"14,5",200,Gemeente Kerkrade,Kerkrade,9.815515054441175
Koggenland,Noord-Holland,0.68,0.24,23509,65%,24%,9.72,0%,0%,"2,76%","6,40%","0,56%",0%,"1,37%",0%,294,"2,36",78.7,"20,9","5,4","15,5",399,Gemeente Koggenland,Koggenland,10.117310581789424
Krimpen aan den IJssel,Zuid-Holland,0.53,0.27,29504,75%,12%,12.24,0%,0%,"2,74%","8,90%","0,60%",0%,"0,59%",0%,3861,"2,32",59.8,"40,3","35,8","4,5",377,Gemeente Krimpen aan den IJssel,Krimpen aan den IJssel,15.892688376906365
Krimpenerwaard,Zuid-Holland,0.58,0.24,57700,67%,20%,12.17,0%,0%,"3,27%","8,30%","0,60%",0%,"1,17%",0%,390,"2,33",66.8,"33,2",26,"7,2",404,Gemeente Krimpenerwaard,Krimpenerwaard,11.967219709960567
Laarbeek,Noord-Brabant,0.7,0.3,23260,68%,20%,10.05,0%,0%,"2,83%","6,50%","0,72%",0%,"1,39%",0%,420,"2,32",69.6,"30,4","22,5","7,9",412,Gemeente Laarbeek,Laarbeek,11.098023800506283
Land van Cuijk,Noord-Brabant,0.66,0.26,91423,68%,21%,9.54,0%,0%,"2,71%","6,50%","0,33%",0%,"1,37%",0%,269,"2,25",68.7,"31,1","22,1",9,374,Gemeente Land van Cuijk,Land van Cuijk,10.265911465342274
Landgraaf,Limburg,0.7,0.42,37175,78%,10%,10.75,0%,0%,"2,44%",8%,"0,31%",0%,"1,26%",0%,1510,"2,04",63.1,"36,6","27,8","8,8",248,Gemeente Landgraaf,Landgraaf,9.871624993076383
Landsmeer,Noord-Holland,0.57,0.25,11705,70%,14%,15.24,0%,0%,"4,02%",10%,"1,22%",0%,"0,97%",0%,520,"2,32",66.1,"33,8","26,2","7,6",580,Gemeente Landsmeer,Landsmeer,16.258353870524612
Lansingerland,Zuid-Holland,0.62,0.24,64754,67%,16%,15.92,0%,0%,"5,10%","9,90%","0,92%",0%,"0,98%",0%,1231,"2,55",73.0,"26,9","18,9",8,497,Gemeente Lansingerland,Lansingerland,14.157795577795943
Laren,Noord-Holland,0.67,0.15,11712,70%,11%,19.32,0%,0%,"5,60%",12%,"1,72%",0%,"0,64%",0%,922,"2,11",68.2,"31,6","16,7","14,9",888,Gemeente Laren,Laren (NH.),21.124060353668746
Leeuwarden,Fryslï¿½n,0.51,0.22,127073,68%,20%,10.41,"0,22%",0%,"3,49%","6,50%","0,42%",0%,"1,19%",0%,542,"1,89",50.5,"49,4",28,"21,4",249,Gemeente Leeuwarden,Leeuwarden,9.833063248723763
Leiden,Zuid-Holland,0.36,0.15,127089,74%,12%,13.05,0%,0%,"3,21%",9%,"0,84%",0%,"0,73%",0%,5954,"1,75",40.6,"59,3","31,9","27,4",394,Gemeente Leiden,Leiden,19.890081529601375
Leiderdorp,Zuid-Holland,0.53,0.2,27657,74%,10%,15.37,0%,0%,"3,58%",11%,"0,79%",0%,"0,51%",0%,2413,"2,16",64.2,"35,8","23,5","12,3",423,Gemeente Leiderdorp,Leiderdorp,14.696885219319896
Leidschendam-Voorburg,Zuid-Holland,0.55,0.2,77753,75%,"9,30%",14.44,0%,0%,"3,57%",10%,"0,87%",0%,"0,72%",0%,2399,"2,05",57.8,"42,2","24,9","17,3",389,Gemeente Leidschendam-Voorburg,Leidschendam-Voorburg,13.83073921238053
Lelystad,Flevoland,0.6,0.3,83033,67%,17%,13.86,0%,0%,"4,68%","8,30%","0,88%",0%,"1,79%",0%,367,"2,24",62.0,38,28,10,342,Gemeente Lelystad,Lelystad,11.021018064643652
Leudal,Limburg,0.71,0.32,36141,70%,18%,10.47,0%,0%,"2,57%","7,70%","0,20%",0%,"1,74%",0%,222,"2,18",77.4,"22,6","12,5","10,1",338,Gemeente Leudal,Leudal,9.117845300464305
Leusden,Utrecht,0.53,0.16,31467,70%,14%,14.16,0%,0%,"4,33%","9,20%","0,63%",0%,"0,95%",0%,541,"2,25",71.0,29,"20,7","8,3",459,Gemeente Leusden,Leusden,13.099283005129323
Lingewaard,Gelderland,0.65,0.26,47220,71%,15%,12.05,0%,0%,"3,28%","8,10%","0,67%","0,11%","1,19%",0%,764,"2,32",72.9,"27,1","18,9","8,2",395,Gemeente Lingewaard,Lingewaard,11.236445868460272
Lisse,Zuid-Holland,0.62,0.24,23390,73%,13%,12.27,0%,0%,"3,40%","8,10%","0,77%",0%,"0,99%",0%,1494,"2,19",64.3,"35,7","26,5","9,2",408,Gemeente Lisse,Lisse,12.66505472128968
Lochem,Gelderland,0.6,0.14,34314,69%,18%,11.23,0%,0%,"3,79%","6,70%","0,74%",0%,"1,41%",0%,161,"2,2",71.1,"28,9","17,9",11,465,Gemeente Lochem,Lochem,11.73130608482474
Loon op Zand,Noord-Brabant,0.7,0.32,23797,73%,16%,10.59,0%,0%,"2,98%",7%,"0,61%",0%,"0,93%",0%,478,"2,26",65.4,"34,6","23,1","11,5",384,Gemeente Loon op Zand,Loon op Zand,10.841014660246058
Lopik,Utrecht,0.65,0.29,14704,63%,27%,9.39,0%,0%,"2,73%","6,10%","0,56%",0%,"1,09%",0%,195,"2,47",74.2,"25,9","17,4","8,5",452,Gemeente Lopik,Lopik,12.212679530708307
Losser,Overijssel,0.8,0.27,23362,73%,17%,9.09,0%,0%,"2,31%","6,50%","0,28%",0%,"0,79%",0%,237,"2,32",70.3,"29,6","18,7","10,9",368,Gemeente Losser,Losser,8.29600002253081
Maasdriel,Gelderland,0.73,0.37,26020,60%,28%,11.14,0%,0%,"3,94%","6,60%","0,60%",0%,"1,07%",0%,398,"2,28",71.6,"28,3","19,9","8,4",422,Gemeente Maasdriel,Maasdriel,11.539790418816445
Maasgouw,Limburg,0.71,0.35,24305,72%,15%,10.86,0%,0%,"2,50%","8,10%","0,26%",0%,"1,98%",0%,534,"2,13",74.3,"25,6","16,1","9,5",322,Gemeente Maasgouw,Maasgouw,9.444758774843969
Maashorst,Noord-Brabant,0.65,0.27,58934,63%,23%,12.56,0%,0%,"4,36%","7,80%","0,40%",0%,"1,31%",0%,431,"2,23",64.7,"35,2","25,4","9,8",402,Gemeente Maashorst,Maashorst,11.384250255361724
Maassluis,Zuid-Holland,0.6,0.28,35303,75%,11%,13.25,0%,0%,"2,65%","9,90%","0,70%",0%,"0,49%",0%,4243,"2,22",54.8,"45,1","38,8","6,3",324,Gemeente Maassluis,Maassluis,14.386357587976335
Maastricht,Limburg,0.53,0.26,122734,76%,12%,11.17,0%,0%,"2,41%","8,40%","0,36%",0%,"1,02%",0%,2246,"1,68",38.0,"61,2","33,8","27,4",297,Gemeente Maastricht,Maastricht,13.020288480778424
Medemblik,Noord-Holland,0.66,0.26,46031,61%,27%,9.74,0%,0%,"3,21%","5,90%","0,63%","0,44%","1,86%",0%,379,"2,28",69.7,"30,2","23,1","7,1",387,Gemeente Medemblik,Medemblik,10.635591337056828
Meerssen,Limburg,0.65,0.3,18600,74%,13%,11.47,0%,0%,"2,68%","8,50%","0,29%",0%,"1,49%",0%,695,"2,13",72.4,"27,6","19,3","8,3",344,Gemeente Meerssen,Meerssen,10.444203773948397
Meierijstad,Noord-Brabant,0.67,0.29,83715,65%,23%,10.82,0%,0%,"3,48%","6,80%","0,54%",0%,"1,21%",0%,458,"2,26",69.1,"30,9","21,1","9,8",420,Gemeente Meierijstad,Meierijstad,11.626185816662241
Meppel,Drenthe,0.59,0.22,35464,67%,20%,11.06,0%,0%,"2,61%","7,80%","0,65%",0%,"1,42%",0%,645,"2,11",57.7,"42,3","30,7","11,6",298,Gemeente Meppel,Meppel,9.768300664821284
Middelburg,Zeeland,0.46,0.18,49956,73%,16%,10.1,0%,0%,"2,80%","6,90%","0,40%",0%,"0,64%",0%,1034,"2,03",60.3,"39,5","26,9","12,6",289,Gemeente Middelburg,Middelburg (Z.),11.210927770292386
Midden-Delfland,Zuid-Holland,0.62,0.21,19472,66%,19%,13.69,0%,0%,"3,95%",9%,"0,74%",0%,"0,74%",0%,411,"2,4",73.1,"26,9","21,6","5,3",481,Gemeente Midden-Delfland,Midden-Delfland,12.704256620694629
Midden-Drenthe,Drenthe,0.66,0.24,33987,63%,27%,8.18,0%,0%,"2,26%","5,40%","0,52%",0%,"1,37%",0%,100,"2,25",71.0,29,"22,2","6,8",328,Gemeente Midden-Drenthe,Midden-Drenthe,8.819529854509176
Midden-Groningen,Groningen,0.63,0.28,61554,69%,21%,8.44,0%,0%,"1,86%","6,20%","0,38%",0%,"1,61%",0%,221,"2,11",62.0,38,29,9,276,Gemeente Midden-Groningen,Midden-Groningen,8.81421241414096
Moerdijk,Noord-Brabant,0.7,0.33,37711,65%,23%,11.15,0%,0%,"3,08%","7,70%","0,37%","0,05%","1,10%",0%,239,"2,22",66.5,"33,4","26,6","6,8",353,Gemeente Moerdijk,Moerdijk,9.988783365261039
Molenlanden,Zuid-Holland,0.52,0.22,45158,65%,24%,9.59,0%,0%,"2,94%","6,30%","0,35%",0%,"1,03%",0%,249,"2,54",69.7,"30,3","24,7","5,6",413,Gemeente Molenlanden,Molenlanden,12.55330053638622
Montferland,Gelderland,0.73,0.32,36882,71%,18%,9.91,0%,0%,"2,73%","6,80%","0,38%",0%,"1,09%",0%,349,"2,24",66.5,"33,4","23,1","10,3",295,Gemeente Montferland,Montferland,8.308039996017767
Montfoort,Utrecht,0.62,0.23,13929,66%,22%,11.51,0%,0%,"3,33%","7,50%","0,68%",0%,"1,31%",0%,369,"2,39",74.2,"25,8","16,1","9,7",455,Gemeente Montfoort,Montfoort,12.253941402528483
Mook en Middelaar,Limburg,0.54,0.2,8043,70%,16%,13.06,0%,0%,"3,55%","8,80%","0,71%",0%,"1,29%",0%,469,"2,12",74.2,"25,8",16,"9,8",426,Gemeente Mook en Middelaar,Mook en Middelaar,12.473384424033268
Neder-Betuwe,Gelderland,0.48,0.26,25448,63%,26%,9.99,0%,0%,"2,84%","6,50%","0,65%",0%,"1,25%",0%,429,"2,62",66.2,"33,8","27,8",6,368,Gemeente Neder-Betuwe,Neder-Betuwe,12.748331134832732
Nederweert,Limburg,0.72,0.31,17499,68%,20%,9.74,"0,08%",0%,"3,00%","6,30%","0,44%",0%,"1,82%",0%,175,"2,24",70.9,29,"19,2","9,8",376,Gemeente Nederweert,Nederweert,9.85747155239474
Nieuwegein,Utrecht,0.58,0.27,65426,70%,15%,14.42,0%,0%,"3,82%",10%,"0,60%",0%,"0,88%","0,12%",2817,"2,12",57.8,"42,2","29,5","12,7",351,Gemeente Nieuwegein,Nieuwegein,13.686309130394385
Nieuwkoop,Zuid-Holland,0.68,0.26,29463,68%,20%,11.91,0%,0%,"3,54%","7,80%","0,57%",0%,"1,04%",0%,376,"2,35",72.5,"27,5","20,6","6,9",476,Gemeente Nieuwkoop,Nieuwkoop,12.271770205899493
Nijkerk,Gelderland,0.59,0.24,44975,68%,20%,10.84,0%,0%,"3,06%","7,10%","0,68%",0%,"1,05%",0%,654,"2,42",69.9,"30,1","22,9","7,2",470,Gemeente Nijkerk,Nijkerk,13.476830962445224
Nijmegen,Gelderland,0.35,0.15,182480,73%,14%,11.38,"0,04%",0%,"3,25%","7,60%","0,53%","0,12%","1,25%",0%,3542,"1,78",43.5,"56,4","38,5","17,9",373,Gemeente Nijmegen,Nijmegen,17.131436240593295
Nissewaard,Zuid-Holland,0.68,0.38,86833,73%,12%,14.21,"0,04%",0%,"3,75%",10%,"0,46%","0,04%","0,85%",0%,1195,"2,18",58.9,"41,1","36,3","4,8",288,Gemeente Nissewaard,Nissewaard,10.435995547452109
Noardeast-Fryslï¿½n,Fryslï¿½n,0.66,0.27,45812,66%,28%,4.55,0%,0%,"1,44%","2,87%","0,24%",0%,"1,06%",0%,121,"2,24",66.6,"33,3","23,8","9,5",283,Gemeente Noardeast-Fryslï¿½n,Noardeast-Fryslï¿½n,8.252707291578433
Noord-Beveland,Zeeland,0.64,0.26,7857,66%,23%,10.16,0%,0%,"3,19%","6,80%","0,17%",0%,"0,83%",0%,92,"2,01",73.0,"24,2",13,"11,2",306,Gemeente Noord-Beveland,Noord-Beveland,8.733401350514171
Noordenveld,Drenthe,0.58,0.2,31591,69%,21%,8.81,0%,0%,"2,57%","5,60%","0,64%",0%,"1,28%",0%,159,"2,16",71.2,"28,8","18,9","9,9",367,Gemeente Noordenveld,Noordenveld,10.40705921075562
Noordoostpolder,Flevoland,0.64,0.24,49729,61%,27%,10.46,0%,0%,"3,88%","5,90%","0,68%",0%,"1,70%",0%,109,"2,31",65.4,"34,6","22,5","12,1",326,Gemeente Noordoostpolder,Noordoostpolder,9.198194321537429
Noordwijk,Zuid-Holland,0.66,0.26,45179,70%,15%,13.59,"0,05%",0%,"3,94%","8,80%","0,85%",0%,"1,00%",0%,784,"2,13",63.1,"36,5","20,9","15,6",494,Gemeente Noordwijk,Noordwijk,13.584289918532086
"Nuenen, Gerwen en Nederwetten",Noord-Brabant,0.59,0.2,24015,70%,15%,14.22,0%,0%,"4,33%","9,20%","0,69%",0%,"1,06%",0%,720,"2,26",75.7,"24,3","15,3",9,494,"Gemeente Nuenen, Gerwen en Nederwetten","Nuenen, Gerwen en Nederwetten",13.525248998464207
Nunspeet,Gelderland,0.49,0.21,28731,68%,21%,9.53,0%,0%,"2,56%","6,30%","0,67%",0%,"1,26%",0%,226,"2,45",65.2,"34,8","22,9","11,9",425,Gemeente Nunspeet,Nunspeet,13.217041556922261
Oegstgeest,Zuid-Holland,0.47,0.13,25746,71%,11%,16.81,0%,0%,"4,66%",11%,"1,15%",0%,"0,47%",0%,3557,"2,25",72.1,"27,8","15,9","11,9",565,Gemeente Oegstgeest,Oegstgeest,18.864220068877657
Oirschot,Noord-Brabant,0.7,0.27,19217,68%,20%,10.69,0%,0%,"3,71%","6,40%","0,58%",0%,"1,17%",0%,189,"2,33",75.5,"24,5","12,9","11,6",501,Gemeente Oirschot,Oirschot,12.399211301209064
Oisterwijk,Noord-Brabant,0.65,0.23,32941,68%,17%,13.24,0%,0%,"4,02%","8,40%","0,82%",0%,"1,03%",0%,411,"2,21",68.5,"31,2","19,9","11,3",496,Gemeente Oisterwijk,Oisterwijk,12.95869676975729
Oldambt,Groningen,0.66,0.33,39044,71%,20%,7.69,0%,0%,"2,03%","5,50%","0,16%",0%,"1,33%",0%,174,"2,04",63.3,"36,2","25,5","10,7",264,Gemeente Oldambt,Oldambt,8.563000337454907
Oldebroek,Gelderland,0.56,0.25,24264,65%,25%,7.96,0%,0%,"2,23%","5,20%","0,53%",0%,"1,69%",0%,249,"2,5",69.2,"30,7","22,5","8,2",369,Gemeente Oldebroek,Oldebroek,11.352957925131955
Oldenzaal,Overijssel,0.73,0.23,31925,68%,20%,11.68,0%,0%,"3,30%",8%,"0,38%",0%,"0,71%",0%,1475,"2,18",62.5,"37,4","28,2","9,2",352,Gemeente Oldenzaal,Oldenzaal,9.886983352349727
Olst-Wijhe,Overijssel,0.65,0.2,18682,70%,20%,8.74,0%,0%,"2,57%","5,60%","0,57%",0%,"1,95%",0%,166,"2,31",69.5,"30,5","22,5",8,390,Gemeente Olst-Wijhe,Olst-Wijhe,10.039473892362693
Ommen,Overijssel,0.65,0.18,18955,65%,25%,9.53,0%,0%,"2,93%",6%,"0,60%",0%,"1,06%",0%,106,"2,32",71.0,"28,9","17,6","11,3",410,Gemeente Ommen,Ommen,10.188171900943066
